"F#m","F#m","F#m","F#m",
"G","G","A#dim","A#dim",
"Bm7","Bm7","G","G",
"G#","G#","G#","G#",
"F#m","F#m","F#m","F#m",
"F","F","Bm","Bm",
"Bm","Bm","Bm","Bm",
"Bm","Bm","C","C",
"F","F","D","D",
"D","D","D","D",
"Em","Em","Gm","Gm",
"Bm","Bm","G","G",
"Em7","Em7","Gm","Gm",
"F#m","F#m","F7","F7",
"Em","Em","Gm","Gm",
"Bm","Bm","G","G",
"Em","Em","Gm","Gm",
"D","F#m7","F7","F7",
"Em","Em","Gm","Gm",
"Bm","Bm","G","G",
"Em","Em","Gm","Gm",
"F#m7","F#m7","F7","F7",
"A","F#m","F#m","F#m",
"F","F","F#","F#",
"F#m","F#m","F#m","F#m",
"C","C","D","D",
"F#7","F#7","F#7","F#7",
"Em","Em","F#m","F#m",
"D","D","Em7","Em7",
"G","G","G","G",
"D","D","G","G",
"A#","F#m","Em7","Em7",
"A","A","G","G",
"Em","Em","Em","Em",
"E","E","E","E",
"E","E","E","E",
"E","E","E","E",
"G","G","G","G",
"A","A","A","A",
"E","E","E","E",
"C","C","C","C",
"D","D","F#m","F#m",
"Em7","Em7","Gm","Gm",
"Bm","Bm","G","G",
"Em","Em","Gm","Gm",
"F#m7","F#m7","F7","F7",
"Em","Em","Gm","Gm",
"Bm","Bm","D","D",
"Em7","Em7","Gm","Gm",
"F#m","F#m","F","F",
"G","G","F#m","F#m",
"Bm7","Bm7","G","G",
"G#","G#","G#","G#",
"G#","G#","G#","G#",
"D","D","D","D",
"Bm7","Bm7","E7","E7",
"E7","E7","E","E",
"D#","D#","D#","D#",
"B","B","A","A",
"G","G","F#","F#",
"D#m7","D#m7","D#m7","D#m7",
"D#m7","D#m7","D#m7","D#m7",
"Em","Em","Em","Em",
"Em","Em","F#","F#",
"F#","F#","F#","F#",
