"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"A","E","G#m","C#m",
"G#m","C#m","Am","B",
"F#m","E","G#m","C#m",
"G#m","C#m","Am7","Bm7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m","","B","",
"G#m","","C#m","",
"C","","G#","",
"G#m","","A#m","",
"D#m","","B","",
"Bm","","E","E7",
"A","E","G#m","C#m",
"G#m","C#m","Am","",
"A","E","G#m","C#m",
"G#m","C#m/E","Am","Bm",
"F#m","C#m","B","E",
"G#m","C#m","Am","B",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
"F#m7","","B7","",
"G#m7","","C#m7","E7",
